ID,intra_original_firstorder_10Percentile,intra_original_firstorder_90Percentile,intra_original_firstorder_Energy,intra_original_firstorder_Entropy,intra_original_firstorder_InterquartileRange,intra_original_firstorder_Kurtosis,intra_original_firstorder_Maximum,intra_original_firstorder_Mean,intra_original_firstorder_MeanAbsoluteDeviation,intra_original_firstorder_Median,intra_original_firstorder_Minimum,intra_original_firstorder_Range,intra_original_firstorder_RobustMeanAbsoluteDeviation,intra_original_firstorder_RootMeanSquared,intra_original_firstorder_Skewness,intra_original_firstorder_TotalEnergy,intra_original_firstorder_Uniformity,intra_original_firstorder_Variance,intra_original_glcm_Autocorrelation,intra_original_glcm_ClusterProminence,intra_original_glcm_ClusterShade,intra_original_glcm_ClusterTendency,intra_original_glcm_Contrast,intra_original_glcm_Correlation,intra_original_glcm_DifferenceAverage,intra_original_glcm_DifferenceEntropy,intra_original_glcm_DifferenceVariance,intra_original_glcm_Id,intra_original_glcm_Idm,intra_original_glcm_Idmn,intra_original_glcm_Idn,intra_original_glcm_Imc1,intra_original_glcm_Imc2,intra_original_glcm_InverseVariance,intra_original_glcm_JointAverage,intra_original_glcm_JointEnergy,intra_original_glcm_JointEntropy,intra_original_glcm_MCC,intra_original_glcm_MaximumProbability,intra_original_glcm_SumAverage,intra_original_glcm_SumEntropy,intra_original_glcm_SumSquares,intra_original_gldm_DependenceEntropy,intra_original_gldm_DependenceNonUniformity,intra_original_gldm_DependenceNonUniformityNormalized,intra_original_gldm_DependenceVariance,intra_original_gldm_GrayLevelNonUniformity,intra_original_gldm_GrayLevelVariance,intra_original_gldm_HighGrayLevelEmphasis,intra_original_gldm_LargeDependenceEmphasis,intra_original_gldm_LargeDependenceHighGrayLevelEmphasis,intra_original_gldm_LargeDependenceLowGrayLevelEmphasis,intra_original_gldm_LowGrayLevelEmphasis,intra_original_gldm_SmallDependenceEmphasis,intra_original_gldm_SmallDependenceHighGrayLevelEmphasis,intra_original_gldm_SmallDependenceLowGrayLevelEmphasis,intra_original_glrlm_GrayLevelNonUniformity,intra_original_glrlm_GrayLevelNonUniformityNormalized,intra_original_glrlm_GrayLevelVariance,intra_original_glrlm_HighGrayLevelRunEmphasis,intra_original_glrlm_LongRunEmphasis,intra_original_glrlm_LongRunHighGrayLevelEmphasis,intra_original_glrlm_LongRunLowGrayLevelEmphasis,intra_original_glrlm_LowGrayLevelRunEmphasis,intra_original_glrlm_RunEntropy,intra_original_glrlm_RunLengthNonUniformity,intra_original_glrlm_RunLengthNonUniformityNormalized,intra_original_glrlm_RunPercentage,intra_original_glrlm_RunVariance,intra_original_glrlm_ShortRunEmphasis,intra_original_glrlm_ShortRunHighGrayLevelEmphasis,intra_original_glrlm_ShortRunLowGrayLevelEmphasis,intra_original_glszm_GrayLevelNonUniformity,intra_original_glszm_GrayLevelNonUniformityNormalized,intra_original_glszm_GrayLevelVariance,intra_original_glszm_HighGrayLevelZoneEmphasis,intra_original_glszm_LargeAreaEmphasis,intra_original_glszm_LargeAreaHighGrayLevelEmphasis,intra_original_glszm_LargeAreaLowGrayLevelEmphasis,intra_original_glszm_LowGrayLevelZoneEmphasis,intra_original_glszm_SizeZoneNonUniformity,intra_original_glszm_SizeZoneNonUniformityNormalized,intra_original_glszm_SmallAreaEmphasis,intra_original_glszm_SmallAreaHighGrayLevelEmphasis,intra_original_glszm_SmallAreaLowGrayLevelEmphasis,intra_original_glszm_ZoneEntropy,intra_original_glszm_ZonePercentage,intra_original_glszm_ZoneVariance,intra_original_ngtdm_Busyness,intra_original_ngtdm_Coarseness,intra_original_ngtdm_Complexity,intra_original_ngtdm_Contrast,intra_original_ngtdm_Strength,intra_original_shape_Elongation,intra_original_shape_Flatness,intra_original_shape_LeastAxisLength,intra_original_shape_MajorAxisLength,intra_original_shape_Maximum2DDiameterColumn,intra_original_shape_Maximum2DDiameterRow,intra_original_shape_Maximum2DDiameterSlice,intra_original_shape_Maximum3DDiameter,intra_original_shape_MeshVolume,intra_original_shape_MinorAxisLength,intra_original_shape_Sphericity,intra_original_shape_SurfaceArea,intra_original_shape_SurfaceVolumeRatio,intra_original_shape_VoxelVolume
1.nii.gz,105.0,192.0,207188142.0,2.444204201483285,43.0,4.707021705046766,228.0,155.03435627827363,27.719388864880656,163.0,-34.0,262.0,18.544142668991945,159.15941852032842,-1.1757823167594597,336946291.72302246,0.22637239474306112,1296.0688771103808,81.71791522661053,122.30610966156327,-12.076167064801208,4.9705080298091495,1.6867267736605007,0.4767635143125219,0.8756582208346414,1.7087078100743567,0.8725594133876908,0.6623429255583783,0.6369873946130314,0.9889295296714951,0.9367257999644374,-0.12447578392261757,0.5650606244372854,0.4528360894192085,8.993864730638892,0.08704865266037579,4.239104064860683,0.492329265188065,0.17624710761806497,17.987729461277784,3.0449355907076763,1.6643087008674124,6.312137165124082,447.41765497004525,0.054703222272899525,30.744645381929256,1851.4998166034968,2.1543699424604217,78.18449688225944,115.86269715124098,10393.64677833476,1.344006622006228,0.015378123246153121,0.06292204496466865,3.4396340632977105,0.001862777993607057,1106.4422251832884,0.1965264155270742,2.497541211211139,74.00066894495531,3.689777279415224,309.2399244849163,0.049529518356557195,0.016908656732132762,3.7984698520100575,3229.672957746218,0.5586473832437877,0.6836175195387812,1.2734592086646161,0.7698133416594614,54.47006593534918,0.013964805350247292,74.9823399558499,0.16552392926236179,3.998781729846157,47.44812362030905,21188.53642384106,1789789.362030905,254.7748565718538,0.03485493244141099,106.42604856512142,0.23493608954772938,0.4912276683073005,21.973222168222748,0.019991371410715324,5.522332425586195,0.05538574397848148,20862.546623198792,6.787542154623735,0.0010276937257794121,46.64171730217759,0.02204392709750375,0.08254504199640958,0.8217314597089569,0.38791910379077027,21.746584304946133,56.05958585807484,65.79944494877147,51.550209235905385,48.64066891862778,66.96315196212858,13185.485763549805,46.06592531783543,0.41787687429966025,6459.018717167042,0.48985822995027384,13301.358337402344
10.nii.gz,90.0,169.0,320622530.0,2.3668810167934096,38.0,6.05073008579548,226.0,134.18166616900567,25.25980012662493,141.0,-97.0,323.0,16.36223630568201,138.373983146056,-1.3360022310157018,503718512.9846573,0.24200564542826683,1142.6396758145047,102.26783352988046,132.77265178705636,-12.419830619644253,4.682265922098357,1.4471017818265062,0.5134028183504321,0.8208128546055232,1.6256857783509089,0.7429729083686899,0.6697436204293011,0.6479562775565023,0.992882994979519,0.9477139327601342,-0.12585062254846213,0.5860082770347675,0.4720385339809773,10.072467834308013,0.0903247267478741,4.153614398721763,0.5292305709454963,0.16881757646193885,20.14493566861603,3.0071045297671164,1.5323419259812157,6.337369122240492,897.7724096745297,0.05361435710209195,28.17725604796305,4052.3845326963274,1.9118182999145583,99.61403404001194,122.50432965064198,13317.333711555688,1.1627092764534863,0.011419697387700148,0.05264091150962373,4.213007954462041,0.0010489991419058745,2346.2987928445855,0.2101782178056665,2.2969932296018447,96.19209375164793,3.6898371822211193,383.9582575502321,0.038495582381162095,0.01222805630968583,3.8391484247320586,6078.787013290992,0.5309103163792374,0.6649148999701404,1.1966676973134793,0.7497470949750115,70.037366347164,0.009682663520697445,101.26849315068493,0.13872396322011635,5.796652279977482,72.63287671232877,63942.102739726026,6673717.845205479,620.9483305042522,0.023702028614463497,189.61369863013698,0.2597447926440233,0.5237630842215668,37.93530169461882,0.01414776194649794,5.752113982309509,0.04359510301582562,63415.934556201915,9.93502490987518,0.0004928983832543718,61.419106342449034,0.013273176224877215,0.06311666535503066,0.7413817644553123,0.35798928643630124,24.99297121199346,69.81485803888877,81.34924537013259,60.21172009438738,59.63175535820516,81.38013963538766,26129.93637084961,51.75946263806851,0.42662779317492733,9981.45564628024,0.38199310953606025,26307.46660232544
100.nii.gz,49.0,172.0,190045282.0,2.9019594871979404,68.0,4.237576521035632,207.0,118.05403072673917,39.578698393380535,129.0,-227.0,434.0,27.744156207557857,128.07423902788597,-1.0172023511366663,174185217.9347763,0.1584899857560669,2466.256531742194,245.3009424246977,563.5755987250624,-39.8775620885497,11.872931094412397,1.5540707344385898,0.7621661415636354,0.7964047296863815,1.6474167194887035,0.8851861806766169,0.6897437464238336,0.6692542112971812,0.9958145849981468,0.9618531509440571,-0.2694217487967994,0.8561037762884053,0.43782627806517643,15.579045773619695,0.06105544720481193,4.758774845956884,0.8173741358013326,0.14894954345070444,31.15809154723939,3.6394590060923937,3.3567504572127485,7.005659739348628,569.8168479199034,0.049181499043665054,34.90581330724424,1836.2649749697912,4.0457020218422866,236.50949421715865,141.537372691179,37543.08001035733,0.5515622353569439,0.0047076839706967485,0.05070481006359829,9.185134475505093,0.00043607784601729446,1057.4149264383645,0.14191708925861735,4.506618864720909,224.5579721525248,4.1305040086543485,1041.1158458856123,0.017590516964511197,0.005082542253830989,4.38962643592041,3892.4168814761865,0.5090452203126938,0.6412978528462733,1.4447612023449639,0.7361925868598733,158.41462118329778,0.0039732458072189196,54.53688524590164,0.1117559123891427,7.331362536952431,162.9672131147541,19842.032786885247,5186927.924180328,77.41369091332598,0.009879218421501806,114.92213114754098,0.2354961703843053,0.49489119845274376,78.08193173109123,0.0063116223202770855,6.0800384967816825,0.04211979975832902,19278.3595639613,2.2750962287708085,0.001134986390723019,105.55286839635089,0.015396135907687576,0.2936246518808605,0.6474523391519101,0.3737815737835519,21.641450307918035,57.898654791501535,56.11583204941276,42.16560634340368,52.7448786559062,56.51381737199389,10537.986116409302,37.48661947850662,0.4004075866348935,5805.240836511731,0.550887121351589,10619.100425720215
101.nii.gz,86.0,185.0,254527120.0,2.5534794990026843,48.0,5.581006650751417,224.0,145.32273135669362,31.90826489845968,158.0,-92.0,316.0,20.87886304785032,151.2235571622049,-1.4549820503107802,258671108.60229492,0.218266375732683,1749.8679918209127,114.40354079510834,295.39223674529933,-26.471328190600566,7.076490765286083,1.9436903183671579,0.555324929368266,0.8794681563591641,1.7650739129896436,1.116243463201873,0.677397249405569,0.6520227986977655,0.9893189683662874,0.9416726875283928,-0.17116752960144482,0.6839713970652296,0.4157440842648005,10.635357724329943,0.09325468911020551,4.2928549402303595,0.6031283646518617,0.20350990762105897,21.270715448659878,3.1976159627909,2.25504527091331,6.4383771617693535,540.4501347708895,0.048557963591274886,41.51707041425802,2429.304761904762,2.881670763475676,109.64645103324348,148.9457322551662,19079.61554357592,1.199646703043028,0.01128906146877104,0.05639014801000902,4.06735306193939,0.0014476737472620862,1285.7323622644844,0.17912021316075347,3.3672508860869623,101.437569884205,4.513622035248425,541.5544205427443,0.042406706797360964,0.01289189670073347,4.045964586253027,3892.062233715563,0.5301691577807772,0.6398161586840831,1.777190953520126,0.7516890593404825,71.65717469772927,0.010631112887236715,77.67300380228137,0.14766730760889993,4.82360956497853,59.20722433460076,41080.631178707226,4970026.914448669,343.3997617387702,0.032393740379997225,124.65399239543726,0.2369847764171811,0.4987403283016806,27.3723512151499,0.01973201404901642,5.799259805856865,0.0472596585804133,40632.8984516185,6.386998945109377,0.0008314910936438959,56.63720356506072,0.02468107326462184,0.09786894594959396,0.5547863444474932,0.31296969884542253,19.345411537292115,61.8124106220485,52.488587510502285,43.21910023357729,49.235853303139585,56.90497645922714,11219.828342437744,34.292681330493686,0.4701031618026154,5155.630219870405,0.4595106148255238,11311.208953857422
102.nii.gz,117.0,232.0,461899928.0,2.82081874758288,59.0,6.829606788384339,278.0,180.9721969006381,36.537535382124176,190.0,-114.0,392.0,24.792739062194315,187.31821492655092,-1.4564905722546344,330376573.5626221,0.17079228443714667,2337.1775922261954,173.78071236643987,717.9572261937695,-43.095832308768145,9.856543799260635,2.109223659946418,0.6347646912270205,0.9178587465669913,1.8064369027184055,1.2097004198938628,0.6689717584438122,0.6421769458185712,0.9930513086303977,0.9521461833539634,-0.2120134137350342,0.7820086906997924,0.41812803250746133,13.10850062660154,0.0634183393613576,4.70015661618147,0.7296919444474573,0.12828838259122738,26.21700125320308,3.491636766646603,2.9914418648017627,6.817412038144256,631.0814342145245,0.04793994486588609,40.4566549185596,2248.3096323305986,3.830781018063407,166.69560923731387,145.0695837131571,27728.489896687937,0.7994053503642369,0.007584525969145011,0.06747096439688016,7.630220982745065,0.0008708463764645587,1295.9740237954672,0.1520133640350592,4.357336988762075,155.94741667433297,4.3919172362113255,791.4300982949921,0.028408198996368636,0.008517592891931082,4.255740462345919,4649.506086005714,0.534073902124026,0.6450751466704064,1.7301436952537586,0.7559430488134666,111.7348546850622,0.006997736851412689,129.60170523751523,0.15785834986299052,4.288261396561929,101.24238733252132,17434.72107186358,3208581.448233861,97.31442266298986,0.01476608108862609,228.56638246041413,0.2783999786363144,0.5417753462521172,51.032911110059416,0.00839915287922743,5.4311788068622775,0.06236706168337891,17177.628556719843,3.85918034570447,0.0008385054246717041,98.68752739360129,0.01938331539824359,0.15757148546924682,0.8699618080998267,0.35898017010334526,16.908835257886963,47.10242143185556,57.104832668194554,48.63162711908784,42.4916921237097,58.53159463743305,9358.078241348267,40.977307714737094,0.4214041457338478,5096.160553909079,0.5445734073254391,9415.626525878906
103.nii.gz,76.0,176.0,297060950.0,2.622912351082915,48.0,13.999942554075593,221.0,133.1771185878293,32.338890212461784,143.0,-433.0,654.0,20.785643644032145,140.4043509908379,-2.1330483339935356,261910293.841362,0.20615372132880944,1977.2368618016512,584.7107172409914,498.1523805656228,-31.385341705456295,7.105010051701711,1.9488373406062165,0.5230310254796243,0.9082559898146629,1.737282485525624,1.041664602914554,0.6626408812901818,0.6366564929769971,0.9973728267779592,0.9687659324549164,-0.1602395858453431,0.6008248462132493,0.44094797962647686,24.15366460269725,0.07866990919876943,4.434289185929658,0.5475596937793918,0.1866042380923129,48.30732920539451,3.2073767993289732,2.2634618480769815,6.601321016217554,827.7814718959453,0.05493274085181136,29.143825438178048,3106.530426703829,3.2447795376078807,571.7740394186741,120.9710664277656,73113.66918840003,0.20174508495163598,0.0018810676947172383,0.04784953554736815,23.306596928497278,0.00019343649642131783,1799.6657767846314,0.1767470512118119,3.962831286631828,558.7557505994068,4.369724562851447,2569.720459420949,0.007690358369360878,0.0019857875500187165,4.08279268277736,5796.929749490039,0.5425254207353186,0.6698979565792228,1.5951840529281769,0.7519367022192809,412.54966822306665,0.001558792279084223,63.26850258175559,0.1088958736346912,12.161393051922468,450.56282271944923,34667.79518072289,20950666.817555938,57.56427036640752,0.00467676914515267,100.91738382099828,0.1736960134612707,0.4179395206370676,174.4235359852712,0.0033791295832164264,6.631719031674168,0.03855597584444887,33995.102657001255,1.67810583817453,0.0006061085540718801,305.8196010692408,0.00742910551097559,0.6840125447765028,0.7558721400242852,0.38569870537750006,20.697568161290086,53.66252951518848,57.96270292673134,49.6571843015569,44.4344018212923,61.231765368298895,13200.906078020731,40.56201102376188,0.4531072506591243,5961.45504619035,0.4515943838215821,13285.913944244385
104.nii.gz,59.0,226.0,731013895.0,3.159612538949517,68.0,30.454980222849294,281.0,158.68551289742052,62.62523957416076,191.0,-944.0,1225.0,31.64867801145414,191.16324456543794,-4.407093334423158,756950632.9661369,0.1679562507814374,11362.294069268028,2070.893101220443,56732.504933751065,-1185.8308328689434,41.73175535216951,10.182186748317564,0.5718171658285187,1.5215615297701315,2.2470656067660526,7.586164608948936,0.6097185730313153,0.5744356128722932,0.9963925075628024,0.972734211796862,-0.18486485702458066,0.7146649067579482,0.4095374350772835,45.41966390708141,0.06321549697438382,5.237498873518656,0.6445861940743619,0.17129871548089437,90.83932781416283,3.774041274027901,12.978485525121771,6.892713996556373,1110.6111777644471,0.05551945499722291,33.5712222482518,3359.7968406318737,18.258259333436254,2031.2231053789242,111.94381123775246,243522.7648970206,0.052214693181600345,0.0007477763675112473,0.08590337942964008,135.12708801991164,0.0002166090503909641,1843.9452683040488,0.1304976334207396,24.04390222755871,1975.9602217159916,3.7068225762172102,7808.366331147249,0.002165434609893121,0.0008760287663116609,4.564695345694774,8583.364634094938,0.5932511598255724,0.6979680986879546,1.3675523761059343,0.7913011081707666,1531.175124194883,0.0007711184820249335,93.2677261613692,0.05700961256807408,85.94703373365775,1489.8141809290953,24139.94009779951,52206493.67542788,11.176092422166276,0.0029734578369084333,494.36919315403424,0.30218165840711136,0.5699345469326463,743.6466636212383,0.0022131951934530355,7.0456323479205585,0.08178364327134573,23990.431181664386,0.5933361915753614,0.00042765358737910017,1952.1975979051733,0.01764708094665519,2.5398472170383903,0.7163235721407903,0.38187900532974767,22.485817811748355,58.882047711243345,64.97755399632975,51.71235655021734,48.49732369972983,65.6223451495172,20615.855855147045,42.17859875148228,0.4902075825528701,7417.171925821479,0.35977996634904075,20713.751907348633
105.nii.gz,86.0,170.0,300063333.0,2.421998509790399,42.0,6.399688579965394,226.0,133.34855509685613,26.911619399405076,141.0,-92.0,318.0,17.774165999038615,138.04959344696852,-1.4132567408437118,439139546.9237709,0.231482766434444,1275.8531044540143,102.36534375169487,168.8865612019975,-14.946881171164941,5.007647311689775,1.798565618396549,0.4506216852860465,0.9013545938386446,1.7126038831073391,0.9342458715682537,0.6533764630472098,0.6279949429587162,0.9913239355995052,0.9432843253777343,-0.1166403454045628,0.5339009942096632,0.46947736426061737,10.077495311172715,0.08475858248911895,4.250705848253686,0.48258727315408323,0.17330272111476044,20.15499062234543,3.028996662536234,1.701553232521581,6.290903958568737,892.0596379803112,0.05665669342523412,26.75307886961953,3644.6961575103205,2.1267188270992086,99.23150206414735,112.60457288027945,12358.09031438552,1.064303456213646,0.012018599407573683,0.05255112054419692,4.009136736316032,0.0011388916181455607,2171.7478131938983,0.20164499790272983,2.510166954401623,95.53459597989081,3.5819685021565104,373.6195388821908,0.03848173389684105,0.013028398349272398,3.815072393425439,6152.513667850351,0.5540695364905776,0.682091995016733,1.1705823997423743,0.7647178785539176,70.85712719355543,0.010603905017744615,103.45375722543352,0.14949964916970163,5.245754535734572,67.25,37677.810693641615,4054437.176300578,356.72593762101985,0.027062433957153516,151.97109826589596,0.21961141367904038,0.4748103614249086,30.589830050079588,0.013782813427255623,5.920510744505245,0.04395046046363925,37160.11668239834,9.457122288431197,0.0005233472614586624,64.7003323617093,0.015748627512245608,0.06312216299427773,0.6929392567842282,0.3303560111252463,23.638820185155847,71.5555927214346,79.33180152258363,60.96785351804389,60.20850082778952,79.73661813901637,22910.989609559376,49.58367923914583,0.4352595713841525,8962.552101446456,0.39119009061515714,23042.64268875122
106.nii.gz,88.0,159.0,438149463.0,2.132012719575301,31.0,7.8806608868595935,195.0,131.23164804121143,22.94680982853473,141.0,-179.0,374.0,14.062786656550877,134.91619221091645,-1.8341084384989403,365536920.1818545,0.2900526621043036,980.6334730805618,196.2794050480243,111.28743127770196,-12.334596210642811,3.82392582753579,0.75857941596951,0.6450994921407875,0.5385981815306272,1.3048789431026817,0.45428276237936477,0.7607382660197697,0.7517356435309852,0.9970887752928937,0.9690039529960848,-0.21268933644227725,0.7054650523272596,0.4019984255055781,13.98236546678764,0.1531344278732513,3.405814509306296,0.6626408643939358,0.28106727712611446,27.96473093357528,2.699548892626119,1.1456263108763252,6.359453634392158,984.92779693407,0.040917610275188816,44.75866104642957,6981.857629512691,1.6531654833775133,191.23555315524905,225.22117901208924,45958.78197831415,1.1158437720301455,0.00551131695194997,0.029282914125880487,4.236766548124479,0.00028494938179982613,2841.186371247156,0.22492046502276772,2.244273941941524,181.85254114584288,7.776609241574608,1553.2883990881555,0.0399346395741667,0.005946355502294425,4.181299263071188,5261.4878924796685,0.4037864897125363,0.5217833141060261,3.5008422696729733,0.6534323865656007,113.30017995884526,0.004152062061876632,76.42314990512334,0.14501546471560406,5.132017182217197,126.75901328273245,163324.5825426945,32691774.19544592,822.9381116261435,0.011543555938581177,119.35673624288425,0.22648337047985626,0.4780882523632634,55.7573993005875,0.007186033495270455,5.799454100044094,0.02189356487059117,161238.32924901613,7.6909170403086,0.00039694666202970007,65.05119926398585,0.007003528717550153,0.12523493095837793,0.8471641140962878,0.3102330579740418,18.840074434859222,60.7287777707933,68.5258093473351,55.12385791451983,53.08390026099199,73.21112540545391,20017.199758814968,51.44724122034444,0.45780675232812545,7787.6091373542085,0.389045882100706,20081.821270422097
107.nii.gz,81.0,192.0,769442587.0,2.7047490938826977,51.0,33.16814015783916,272.0,147.42432922753747,36.51598392197869,163.0,-674.0,946.0,22.703366315423292,156.49192428188638,-3.4631823576151786,678395911.8666649,0.20259073248685772,2755.7895172582985,1140.1561276170385,2516.216791060393,-83.33711806616088,9.356498312769899,3.098294022663469,0.4463436332153022,1.0481418373068858,1.8866577259991746,1.8383112187514195,0.6546060737136268,0.625590824725886,0.9979211655773548,0.9743154079207806,-0.16404249551386207,0.5621953336890191,0.4116392623478267,33.742687604901725,0.08142560133173614,4.529499041331972,0.5153689530063266,0.1644181277693534,67.48537520980345,3.281461512753296,3.1136980838583423,6.700859499241101,1623.9869187434356,0.05168805241234398,34.32060467236668,6365.198224004584,4.4877067064543565,1121.0437951557974,136.21047773640154,160135.95521818008,0.11643977371294655,0.0010023946627693867,0.047117705947208356,45.482689034839105,0.0001392243326026257,3385.715433565228,0.16383075050493887,5.799205024844195,1096.1825186384178,5.300587303529038,6105.188686320757,0.00481066182158225,0.001090029018230196,4.2617845311221,11699.439341488798,0.5344725508253357,0.6502287934542303,2.1919497278985216,0.7437589753373399,801.0023507628017,0.0008650031672758527,107.97926059513075,0.09736633056368868,25.654914581166793,898.380522993688,104133.80252479711,121903217.32281335,89.10732423703186,0.0037037726724234075,230.85933273219118,0.20816892040774676,0.4647464143148161,387.25163555844335,0.003035596011887115,6.8007861223576676,0.03529711321175085,103331.16100012929,1.840832341400679,0.00025154852047108256,827.3275398920551,0.005718487017346435,0.8465292971229004,0.7590259650743885,0.41879869189829033,26.4190534938524,63.082941768759255,72.09449292127947,54.68644320965527,55.81170882703381,72.21668330577614,27589.31400378545,47.881590755763945,0.4878250525085338,9051.362517397443,0.3280749393100362,27701.249599456787
