ID,original_firstorder_10Percentile_h1,original_firstorder_90Percentile_h1,original_firstorder_Energy_h1,original_firstorder_Entropy_h1,original_firstorder_InterquartileRange_h1,original_firstorder_Kurtosis_h1,original_firstorder_Maximum_h1,original_firstorder_Mean_h1,original_firstorder_MeanAbsoluteDeviation_h1,original_firstorder_Median_h1,original_firstorder_Minimum_h1,original_firstorder_Range_h1,original_firstorder_RobustMeanAbsoluteDeviation_h1,original_firstorder_RootMeanSquared_h1,original_firstorder_Skewness_h1,original_firstorder_TotalEnergy_h1,original_firstorder_Uniformity_h1,original_firstorder_Variance_h1,original_glcm_Autocorrelation_h1,original_glcm_ClusterProminence_h1,original_glcm_ClusterShade_h1,original_glcm_ClusterTendency_h1,original_glcm_Contrast_h1,original_glcm_Correlation_h1,original_glcm_DifferenceAverage_h1,original_glcm_DifferenceEntropy_h1,original_glcm_DifferenceVariance_h1,original_glcm_Id_h1,original_glcm_Idm_h1,original_glcm_Idmn_h1,original_glcm_Idn_h1,original_glcm_Imc1_h1,original_glcm_Imc2_h1,original_glcm_InverseVariance_h1,original_glcm_JointAverage_h1,original_glcm_JointEnergy_h1,original_glcm_JointEntropy_h1,original_glcm_MCC_h1,original_glcm_MaximumProbability_h1,original_glcm_SumAverage_h1,original_glcm_SumEntropy_h1,original_glcm_SumSquares_h1,original_gldm_DependenceEntropy_h1,original_gldm_DependenceNonUniformity_h1,original_gldm_DependenceNonUniformityNormalized_h1,original_gldm_DependenceVariance_h1,original_gldm_GrayLevelNonUniformity_h1,original_gldm_GrayLevelVariance_h1,original_gldm_HighGrayLevelEmphasis_h1,original_gldm_LargeDependenceEmphasis_h1,original_gldm_LargeDependenceHighGrayLevelEmphasis_h1,original_gldm_LargeDependenceLowGrayLevelEmphasis_h1,original_gldm_LowGrayLevelEmphasis_h1,original_gldm_SmallDependenceEmphasis_h1,original_gldm_SmallDependenceHighGrayLevelEmphasis_h1,original_gldm_SmallDependenceLowGrayLevelEmphasis_h1,original_glrlm_GrayLevelNonUniformity_h1,original_glrlm_GrayLevelNonUniformityNormalized_h1,original_glrlm_GrayLevelVariance_h1,original_glrlm_HighGrayLevelRunEmphasis_h1,original_glrlm_LongRunEmphasis_h1,original_glrlm_LongRunHighGrayLevelEmphasis_h1,original_glrlm_LongRunLowGrayLevelEmphasis_h1,original_glrlm_LowGrayLevelRunEmphasis_h1,original_glrlm_RunEntropy_h1,original_glrlm_RunLengthNonUniformity_h1,original_glrlm_RunLengthNonUniformityNormalized_h1,original_glrlm_RunPercentage_h1,original_glrlm_RunVariance_h1,original_glrlm_ShortRunEmphasis_h1,original_glrlm_ShortRunHighGrayLevelEmphasis_h1,original_glrlm_ShortRunLowGrayLevelEmphasis_h1,original_glszm_GrayLevelNonUniformity_h1,original_glszm_GrayLevelNonUniformityNormalized_h1,original_glszm_GrayLevelVariance_h1,original_glszm_HighGrayLevelZoneEmphasis_h1,original_glszm_LargeAreaEmphasis_h1,original_glszm_LargeAreaHighGrayLevelEmphasis_h1,original_glszm_LargeAreaLowGrayLevelEmphasis_h1,original_glszm_LowGrayLevelZoneEmphasis_h1,original_glszm_SizeZoneNonUniformity_h1,original_glszm_SizeZoneNonUniformityNormalized_h1,original_glszm_SmallAreaEmphasis_h1,original_glszm_SmallAreaHighGrayLevelEmphasis_h1,original_glszm_SmallAreaLowGrayLevelEmphasis_h1,original_glszm_ZoneEntropy_h1,original_glszm_ZonePercentage_h1,original_glszm_ZoneVariance_h1,original_ngtdm_Busyness_h1,original_ngtdm_Coarseness_h1,original_ngtdm_Complexity_h1,original_ngtdm_Contrast_h1,original_ngtdm_Strength_h1,original_shape_Elongation_h1,original_shape_Flatness_h1,original_shape_LeastAxisLength_h1,original_shape_MajorAxisLength_h1,original_shape_Maximum2DDiameterColumn_h1,original_shape_Maximum2DDiameterRow_h1,original_shape_Maximum2DDiameterSlice_h1,original_shape_Maximum3DDiameter_h1,original_shape_MeshVolume_h1,original_shape_MinorAxisLength_h1,original_shape_Sphericity_h1,original_shape_SurfaceArea_h1,original_shape_SurfaceVolumeRatio_h1,original_shape_VoxelVolume_h1
1.nii.gz,66.0,178.0,100536705.0,2.6948631343688176,60.0,3.2886869503271847,202.0,132.3513986013986,36.605121277324066,146.0,-34.0,236.0,26.213630556244162,139.74718056377552,-0.952500139306567,18166779.545822084,0.18686121570736958,2012.3817637781797,61.284335654956706,318.3014776778755,-27.639604744913203,9.644863181169749,4.162064485769929,0.41268451973806725,1.4423691216137162,1.9586940661788648,1.4775219574078038,0.5729284763688964,0.5184217051136844,0.9691214868518669,0.8950915656552701,-0.2398973163859734,0.7134942023088305,0.3408058554823612,7.739419826643182,0.06373011836843255,4.818586023656679,0.5123286095935604,0.12563155133624604,15.478839653286363,3.325758433063444,3.4517319167349196,4.919527214731536,1399.6958041958042,0.2718911818562168,5.552367709127616,961.9615384615385,3.3438401633331702,64.22202797202797,56.857808857808855,3854.8385780885783,1.181236052469525,0.023752691764977775,0.02607073506744813,1.5667622072091072,0.0007170940630833715,715.1760094157976,0.1774362242372729,3.436323094009488,62.568240629546615,7.708179069863691,547.7465461165386,0.14698267703546952,0.02504152859587909,3.3791780732881116,3431.0563482801913,0.7808088849503476,0.7629699360468591,2.6197569296531165,0.7477710648199773,47.29342743274314,0.01845000668237505,17.370967741935484,0.14008844953173777,4.037981269510926,46.91935483870968,19689.532258064515,1588121.927419355,254.29641742559127,0.04236046553916352,35.54838709677419,0.2866805411030177,0.0067362923402293625,0.316748130040446,0.0003391840400150429,5.033180328445144,0.024087024087024088,17965.943288241415,5.166844844015637,0.0018256243341670038,36.878817795207844,0.04086617475566964,0.10549185270308065,0.6159970157690093,0.42359832456880253,17.178970565295085,40.55485956603402,57.54356384940555,26.022789564701785,29.342626617810904,58.83200520755201,875.451598527307,24.98167246760822,0.2535299541040113,1745.5927924705766,1.9939340968787187,930.2332029072575
10.nii.gz,35.0,141.0,79839063.0,2.771614399560926,54.0,3.600829234488243,181.0,89.65894039735099,33.14445272868149,94.0,-97.0,278.0,22.97903047893304,98.95149546493037,-0.5933487308725637,13936918.959320905,0.17208309577065334,1752.6728615703992,64.05360049307986,209.05790652322423,-7.821914042206881,7.617331387639372,4.543611886042108,0.27845695233277873,1.5307183675798595,1.9878822600448294,1.4832910519741571,0.55844512019839,0.4974027995170197,0.9713795340456598,0.8968267243887217,-0.2244252232250545,0.6673536290352996,0.31156483414414116,7.95448004855376,0.05390024441159046,4.996552415371541,0.48994951629288025,0.09743855117502623,15.908960097107524,3.3435504808063787,3.04023581842037,5.025465052890877,2208.3451066961,0.2708296672425926,4.74880580948216,1403.1655629139073,2.8973936328328675,68.58609271523179,53.673289183222956,3672.6322050527347,0.9953307522783259,0.019705863417375416,0.026756528634905626,1.8117650274931243,0.0005719794564778549,1067.8053539608884,0.16851324675990545,3.0166434316398947,68.27394945864954,6.348781744306167,447.53824921392936,0.11439705698756009,0.020210425358926254,3.4315127721987535,5503.533120537619,0.7795515018742883,0.7694383124846701,1.612101205724253,0.7503805852103257,51.469171909753534,0.015070000754262335,21.13095238095238,0.12577947845804988,4.9991142290249435,61.69642857142857,12960.964285714286,893911.6607142857,203.50526182595232,0.031147633413306723,36.38095238095238,0.2165532879818594,0.005784866390628624,0.3316479991699215,0.00023785675739021068,5.476835432019769,0.020603384841795438,10605.248724489795,6.917401451634035,0.0012559601648899999,41.99973866557169,0.02896133932958083,0.07758462550438769,0.44904810300702924,0.2280346324775755,10.869184126615265,47.66462009968648,41.96945967097645,42.142544662807296,25.8696407765865,48.812334213762156,1336.7426387610276,21.40370723631493,0.215923137425447,2717.7957171791645,2.03314807081951,1423.3839041210022
100.nii.gz,-42.0,94.0,9729459.0,3.094462064868403,65.25,4.96861278887206,135.0,21.399305555555557,42.3257137345679,23.0,-227.0,362.0,27.64070069443165,61.267032779101974,-0.9298757147815363,990832.8804844073,0.1449652777777778,3295.719027295525,113.2068398383651,834.9826204111905,-35.67441152798171,12.466765105570593,4.368931954698904,0.4356665147723661,1.456476108979993,1.951469115581439,1.614493762065939,0.5788630375784122,0.5170602665178003,0.9840372807603699,0.9228167922626779,-0.32511799770175853,0.8553236371578041,0.27435361966454985,10.53235597210962,0.05800448682545884,4.815634029614658,0.7575694689418594,0.1126988274085133,21.06471194421924,3.426584886168897,4.208924265067373,5.222191220575721,742.979938271605,0.28664349470355127,4.800466297058375,375.75,5.305121527777779,134.22222222222223,47.63425925925926,6294.814043209876,0.5480430361935714,0.012943346030276826,0.030873607591097755,4.172771510195709,0.0004471265816697093,291.21971792508174,0.14179194987449958,5.534915057118543,134.34975890010097,4.236539361618453,570.1882667452096,0.04928082918839281,0.013335788840577657,3.6195597711807896,1791.1851447124127,0.8159453342464301,0.7867402659069326,0.7188326527160892,0.7599941527967261,102.39302617467102,0.010139207457860318,11.37037037037037,0.10528120713305898,9.541838134430726,137.14814814814815,1680.0,211206.0,15.010669180359569,0.02047061172375769,35.648148148148145,0.33007544581618653,0.007313452156212667,0.9888841684553668,0.00020693651604942776,5.122684437581645,0.041666666666666664,1103.9999999999998,0.7737413005263394,0.006336262973424002,46.02223915968656,0.0247648916455498,0.7279441881794703,0.9489155746226008,0.45867482553505423,11.859021329027541,25.854964495149115,38.30303535467595,25.96937652270729,22.1293264474838,52.758607157892264,224.61739876990507,24.534178490761363,0.20692984216619376,863.5548486758244,3.844559029732322,263.96522419340926
101.nii.gz,58.0,165.0,153899757.0,2.618069007059819,55.0,5.712116695283652,207.0,122.18537074148297,35.62821635254477,136.0,-92.0,299.0,23.639440516494034,130.89782841195623,-1.5489629009511434,17378380.737849604,0.21170798510849356,2204.9766597322905,90.11469620450264,392.7786609915265,-33.25074174440423,8.112342534733973,6.545313506800174,0.13521885362940528,1.711518719387573,2.191647125011533,2.679289709721016,0.5626606192190364,0.5030487698073183,0.9668248470296473,0.896626262840802,-0.24019548115292605,0.6924335480924384,0.28034928157786587,9.472153061979496,0.08394654334406848,4.573281366057443,0.5575780921048319,0.1563401601555326,18.94430612395899,3.1156752603205455,3.664414010383538,4.957403569719899,2187.1563126252504,0.2435043768231185,8.973691116615575,1901.561122244489,3.5639615905157007,92.05210420841684,71.6270318414607,7248.429080382988,0.9258624040635067,0.01704526781057298,0.023154213991671006,1.904471003246893,0.0005189383050742993,1315.647655889793,0.19029280714916602,3.914901573776317,88.05884457268264,12.042079719219391,1250.5684765713884,0.14589564855009304,0.018999404829192764,3.512098762104156,5509.003170597189,0.7300726660601071,0.7340236027610777,5.330066064659377,0.7321645388758606,64.95763714892566,0.0136917010493376,20.67058823529412,0.1215916955017301,5.865605536332179,56.694117647058825,56688.56470588235,6643235.011764706,492.41367093832736,0.04433334222263553,62.64705882352941,0.3685121107266436,0.007767199954778746,0.36481271237591656,0.00045400367790301136,5.067989652755029,0.01892674237363616,53896.99640138407,9.319710278722198,0.0006245472640964948,81.33807692221077,0.04706104577988733,0.06564306758012152,0.7022565468577981,0.5146829089872876,11.953184848887675,23.224367159203478,26.113143811038174,19.679250835941197,25.295864146978598,26.855453472105417,993.5701185983843,16.309463884179884,0.34213767155017794,1407.3936165160414,1.4165015535103171,1014.2486176074024
102.nii.gz,84.0,195.0,292281057.0,2.8483677424709555,52.0,4.238887552480748,243.0,143.98945147679325,34.83779308871442,151.0,-40.0,283.0,22.614325946445057,151.12255298164658,-0.9052805999061188,23228412.853830677,0.17186427467899454,2105.0638831027786,71.72824426960133,322.372797826519,-15.537800418512283,8.492314261849376,4.549546183252257,0.2967729302991811,1.4626830836135385,2.0247600461451514,1.7796422209929834,0.579665604175297,0.5227243562029082,0.972090267304329,0.9019832435815276,-0.21153737440364717,0.5970603852816767,0.306006003795975,8.410353710360862,0.05707706726945213,5.039109733815516,0.441753250209583,0.11365654427407171,16.82070742072172,3.379792243600605,3.260465111275409,5.260714386063541,3200.6311923738085,0.25008838821486234,8.084783572874738,2199.518987341772,3.480767861275793,72.11884669479606,63.00078137208939,4757.149163931865,1.171939530437003,0.02224040232774349,0.026050529533635902,1.776013584672721,0.000671560204168481,1606.493325837944,0.16389505900368043,3.6725754892257383,70.77726364625443,7.09870572607007,542.473701217525,0.13323101470462764,0.02337283770844372,3.5926651648911028,8112.697898812995,0.75858864287928,0.7534410424705784,2.220458324646933,0.7390845593892192,52.45689810709559,0.017291112997370336,46.753501400560225,0.13096218879708746,4.827782093229449,55.40896358543417,19312.941176470587,1508158.512605042,258.5811253923057,0.03821959324709667,121.93557422969188,0.3415562303352714,0.007468435999871931,0.3702254854162323,0.0003324589748407209,5.112058369000505,0.027894983591186123,18027.80905303298,12.514017928518282,0.0006785411280029749,50.0409303345939,0.04214475823090442,0.04360859488727589,0.8935599632718322,0.5567933942085218,17.710900827925894,31.808748114014218,50.29501560966224,36.30811056815233,30.523546355036974,53.392659089019396,979.5792170882469,28.423023796481505,0.1897788479947133,2513.4062659573524,2.565801950584797,1017.0937205257369
103.nii.gz,-2.0,160.0,151331013.0,3.3132202376909756,94.0,10.33862185617345,204.0,88.45024077046548,56.02820325201157,109.5,-433.0,637.0,37.81978385628974,116.16724604194378,-1.993588859993653,14824921.458482716,0.12432464464134346,5671.383960616186,502.04112183075944,3734.174863159429,-134.1758118938686,18.288439260700677,4.135085782901473,0.5157349050419666,1.3797964604286126,1.98505594551038,1.7061061161581559,0.5937480300786385,0.5440536699617444,0.994458074831805,0.9538763645388476,-0.2669140140952343,0.7422092769808191,0.3387658143844207,22.32639069290182,0.04376291224966131,5.289998350506783,0.6286108757568191,0.08448940298272195,44.65278138580364,3.70093272013307,5.605881260900536,5.628004126162502,2965.6231496343858,0.26445720970522435,6.541442836445272,1394.1765650080256,9.245706968559421,494.9422150882825,63.795077581594434,32444.914214374887,0.16626924682871558,0.0032264217294259404,0.02380427461727517,11.341269163764967,9.843229472935377e-05,1018.031770330495,0.11871662055655946,10.132220493655417,487.65136174599746,9.369939655789766,4827.81000048809,0.023489787139633532,0.0035260691438542685,4.126183758846649,7194.204553524722,0.7451912192423424,0.747437955303124,3.115821902268373,0.7358796130332989,360.64351038708423,0.002554267220076659,14.800995024875622,0.07363679116853543,22.28801267295364,400.8905472636816,22700.149253731342,12454610.776119404,42.80320623056424,0.009380906932523496,57.34825870646766,0.28531471993267493,0.006831828388371125,2.3936090838586135,0.00010280680302640564,6.097083078189598,0.01792402354200107,19587.50857652038,0.9828119404097452,0.0012656948742227614,247.02322945347575,0.02001156590870208,0.8116556250622512,0.7852903595608396,0.5127822812844509,14.088217024175682,27.474071430250252,42.32291637217925,28.720466751807365,28.307288041828762,53.87597949161774,1069.0720095249446,21.57512343206141,0.2902654960334583,1741.9138930361694,1.6293700307523815,1098.5631163086523
104.nii.gz,-272.0,183.0,1037795202.0,4.342013164836249,156.0,7.286940344372059,226.0,15.80505679736167,140.8405099147479,75.0,-944.0,1170.0,74.67027616607587,205.5572536702615,-2.0680670669957415,119401847.05884087,0.06939981129088502,42003.984716092404,1583.6194022489892,223587.57165139276,-4402.44782056409,174.6748601444753,81.46391074525272,0.3581227501019325,5.388082988281443,3.47820767331254,42.766144919236396,0.43119327330075446,0.3672376548344073,0.970696857673434,0.9127112536785208,-0.2379333489937596,0.7527081884968805,0.1724336511946194,39.500348942440795,0.016465397394744223,7.560677578187778,0.4768822412317086,0.04318072697784744,79.00069788488159,5.089776881866433,64.03469272243197,6.570600390518662,6470.473962786531,0.2634450536536188,6.960718228044727,1704.528765115427,67.30752885454211,1600.622572370832,55.0461707585196,94605.41561825658,0.09792446643116628,0.0024369406678661715,0.029286451663362023,44.02485623506797,8.695192889752508e-05,1263.5080008538605,0.06516954120767587,71.70278960242575,1567.2124072174843,5.818726597092048,10017.053768334208,0.010407636553892667,0.0026083543265781263,5.007172222423002,16447.306112360173,0.7938052891461395,0.7717550964161444,1.652406988586205,0.7540376691601218,1182.9778725312149,0.0019674815655273824,39.81845536609829,0.03993827017662818,105.21315400564784,1262.7141424272818,9537.282848545638,19432674.009027082,5.313374664877112,0.004525126186220757,462.80341023069207,0.46419599822536817,0.008741585070753,9.873769764386346,4.32896006981647e-05,6.5626247083334235,0.04059280973901714,8930.40431827076,1.4316987115669768,0.00024916677194166596,3970.2175820369166,0.19640746090066133,0.5629409187404363,0.8870314825852068,0.6895882014753716,21.913538147810133,31.777716180361253,47.081052089480316,49.9554333254122,42.8453348634462,63.78551386421163,2776.5065480030244,28.187834696637758,0.27113486398567627,3523.4211807913143,1.2690123793604957,2825.8260974424807
105.nii.gz,70.0,148.0,89479908.0,2.3551759763239586,43.0,2.998174596731993,226.0,111.23592493297588,24.808328960892407,115.0,13.0,213.0,17.638266666666667,115.4441940085984,-0.2611511943732417,14550323.993121998,0.22779219285698887,953.930934600263,26.330609666580358,65.745709559717,-1.6417315066524059,4.863270408070517,1.8512532201785368,0.4647214905493572,0.9631963625317788,1.5547124298521426,0.6765180278376941,0.6446144727157368,0.605305911855899,0.9825102807635087,0.918831527353505,-0.23664248780672906,0.6863676332562978,0.37878550727946586,5.05696627817298,0.08228486358051726,4.23703799778331,0.5134503840865576,0.14341181076327153,10.113932556345961,3.0315019659571454,1.6786309070622636,4.727649438576071,1755.8728030980042,0.26152409935925,6.3816241592645735,1529.396782841823,1.5725118415283659,26.22520107238606,62.72773309502532,1710.5198093535896,3.071671636060839,0.054743925273415886,0.023954417478979664,0.6120591919859747,0.0014620923701515122,1130.5685281310907,0.2216198935166053,1.6589918677341435,26.03280647091553,8.353474029451387,218.2587629563491,0.42082562920788563,0.0567529660471548,3.137072765987951,4303.374502258993,0.7448944240158217,0.7497536720056828,2.4474114605893362,0.734713888655166,19.015291827801377,0.04173099605990553,18.0,0.16363636363636364,3.103801652892562,23.6,35470.63636363636,973877.7272727273,1385.7639378478664,0.09323605957534528,27.454545454545453,0.24958677685950414,0.006276832167894044,0.14764591829476062,0.0007382381654109355,4.9373925636696665,0.016383675901102176,31745.198677685952,10.886976657204418,0.0017595069198112017,14.853006493767907,0.018158066056981812,0.05964407561952926,0.7743080302763895,0.45204240197310724,14.922839063331287,33.01203382292237,58.843996433831784,29.41993624073504,26.476008057822856,60.21689092184147,1037.492178211849,25.561482884844565,0.254546769279194,1947.0319998643513,1.8766714976301058,1091.7632513638828
106.nii.gz,17.0,137.0,64585656.0,2.9115411920508443,56.25,5.006274958211166,182.0,81.32828282828282,37.17244413835323,88.5,-179.0,361.0,24.24385795859221,95.18843618758731,-1.1057332972204192,5986907.253195244,0.1627799459238853,2446.54879604122,143.63128650485186,474.57642875555786,-26.805422863196075,9.601733858529746,3.7313155448989686,0.3985906283428851,1.3243375393624204,1.9043402119629325,1.4720775395089816,0.5902943344504155,0.5406056906983594,0.9863355815835765,0.9291126192800419,-0.23321610599088716,0.6662666815882597,0.3603843022116511,11.922474338160008,0.05669036965723799,4.926381207608655,0.5275818771175935,0.1095262462614879,23.844948676320012,3.4242053908059638,3.3332623508571797,5.124232910568167,2007.7182940516275,0.2816664273360869,5.200676093142424,1160.2954545454545,3.984899500051015,143.0580808080808,53.50785634118967,7855.066498316498,0.45417692840867163,0.00947724898863788,0.02749458963856958,3.801837641226055,0.00029364140599681454,877.7075580049616,0.15871825580932591,4.14964882571861,141.80619404553548,5.680407745085851,834.6026172708945,0.048272821007305684,0.009784038936279762,3.524489611575466,4753.851669272224,0.7917645068752963,0.7711408961408962,1.471620827744386,0.7470137602126395,105.92628300952698,0.007320671847381947,24.09452736318408,0.11987327046360238,6.236330783891488,118.95522388059702,8415.134328358208,1325573.462686567,55.8664612979422,0.016138291121224082,67.33830845771145,0.3350164599886141,0.00740579725564183,0.7969200165516374,0.00015653546674911006,5.233473641549486,0.0281986531986532,7157.532189797283,2.7709470685892206,0.0015677676412235656,69.28644406144669,0.023498218057432768,0.21632518278998425,0.4947874787498456,0.3094568464358348,13.100501362903739,42.333855313878466,59.85988348473969,33.31498575151104,19.65765734851538,60.46413077520703,597.5259298147648,20.94626153651468,0.18094055972713743,1896.0627199551657,3.173189020504854,660.7453967917536
107.nii.gz,-6.0,184.0,341487585.0,3.6291238148434086,93.0,15.015379280578244,259.0,90.27600232423009,74.07571574571357,120.0,-674.0,933.0,39.692163791743134,148.4826704643993,-3.0145344096954405,33453332.045507025,0.1080750114540247,13897.346832595,996.851226537665,46150.97801176233,-1190.1210828905957,56.437559189140465,24.745181524864147,0.37686288864768325,3.0422112427115455,2.7416733271876312,12.393344350268782,0.47667055961681604,0.4050894964794486,0.9850382951809895,0.9328842663845911,-0.28560342992217647,0.8273229811985694,0.20849329897152116,31.44655146260203,0.03132009429602233,6.072922341500485,0.6274482717695464,0.059049872457903455,62.893102925204055,4.229372730452109,20.295685178501156,5.726960880085564,4407.9143262960815,0.28458353194499847,5.447217682065536,1673.9738524113886,22.269240651338134,991.2835560720512,54.72419136161147,56717.021951062045,0.11396803908016816,0.0028232933669281894,0.02714496108231566,25.73838028069723,0.00010106461370228717,1253.38296250761,0.10253579784345883,24.52988766029023,975.235262851294,7.704665393057675,8011.259831952377,0.014791479516484525,0.003138763719948174,4.323847258995188,10627.067323097119,0.7848393321745856,0.7684709247753989,2.3654882194679336,0.7512187739795196,734.9049976400153,0.0022992064543728755,26.27790973871734,0.06241783785918608,49.50667170688497,791.9073634204276,11344.80997624703,12685036.93824228,10.94549984073725,0.008018532107546036,159.26128266033254,0.37829283292240506,0.00789300955918664,5.608835663284919,9.107138536262393e-05,6.157755307202671,0.02718057976628575,9991.23421781642,0.9328528213796741,0.0005949831000691865,1059.9808561093396,0.0455661372560212,0.9332858300202413,0.8399126659789322,0.42632387576940295,18.430331086647193,43.23082082462605,58.6739989744088,49.25090129268226,42.862666664823855,65.02702096284087,1483.8210571625725,36.3101139712692,0.27308493212849166,2303.7786003602873,1.552598670331363,1517.3572417072155
