feature_name,importance
original_firstorder_10Percentile_h1,5.0
original_glcm_DifferenceVariance_h2,5.0
original_glszm_SmallAreaEmphasis_h1,3.0
original_ngtdm_Busyness_h1,3.0
original_firstorder_Median_h1,1.0
original_ngtdm_Contrast_h2,1.0
original_glszm_SmallAreaHighGrayLevelEmphasis_h4,1.0
